Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
2010-06-15,16073.0,1599.0,922.0,1077.0,9105.0,10511.0,11781.0,12510.0,4292.0,3563.0
2010-06-08,13011.0,1531.0,471.0,0.0,7684.0,9305.0,9215.0,9776.0,3796.0,3235.0
2010-06-01,12840.0,1207.0,663.0,0.0,7684.0,9305.0,8891.0,9968.0,3949.0,2872.0
2010-05-25,12668.0,2134.0,411.0,0.0,7684.0,9305.0,9818.0,9716.0,2850.0,2952.0
2010-03-16,15620.0,3575.0,1889.0,331.0,8751.0,9829.0,12657.0,12049.0,2963.0,3571.0
2010-03-09,14025.0,3478.0,1765.0,3.0,8010.0,8989.0,11491.0,10757.0,2533.0,3267.0
2010-03-02,13974.0,3414.0,1377.0,3.0,8166.0,8992.0,11583.0,10372.0,2391.0,3602.0
2010-02-23,14343.0,3357.0,1497.0,3.0,8668.0,9633.0,12028.0,11133.0,2315.0,3210.0
2010-02-16,14221.0,2646.0,1845.0,3.0,8978.0,9123.0,11627.0,10971.0,2593.0,3250.0
2010-02-09,13661.0,2606.0,1826.0,1.0,8479.0,8624.0,11086.0,10451.0,2575.0,3210.0
2010-02-02,13869.0,2786.0,1854.0,0.0,7791.0,7861.0,10577.0,9715.0,3292.0,4154.0
2010-01-26,13578.0,2840.0,1682.0,0.0,7791.0,6862.0,10631.0,8544.0,2947.0,5034.0
2010-01-19,12614.0,2440.0,2035.0,0.0,7533.0,6856.0,9973.0,8891.0,2641.0,3723.0
2009-12-15,18333.0,3618.0,3165.0,565.0,9005.0,9025.0,13188.0,12755.0,5145.0,5578.0
2009-12-08,15756.0,3493.0,2873.0,14.0,8701.0,9222.0,12208.0,12109.0,3548.0,3647.0
2009-12-01,15678.0,3519.0,2854.0,4.0,8700.0,9222.0,12223.0,12080.0,3455.0,3599.0
2009-11-24,16781.0,3774.0,2617.0,2.0,8700.0,10720.0,12477.0,13339.0,4305.0,3442.0
2009-11-17,17189.0,3602.0,2975.0,324.0,8915.0,10415.0,12841.0,13714.0,4348.0,3475.0
2009-11-09,16880.0,3322.0,2683.0,393.0,8805.0,10494.0,12520.0,13570.0,4361.0,3310.0
2009-11-03,15938.0,2880.0,2404.0,81.0,8733.0,10490.0,11695.0,12975.0,4244.0,2964.0
2009-10-27,14504.0,3304.0,2116.0,40.0,7730.0,9476.0,11074.0,11632.0,3430.0,2872.0
2009-10-20,13893.0,2726.0,1568.0,80.0,7493.0,9361.0,10300.0,11008.0,3593.0,2885.0
2009-10-13,13591.0,3558.0,1402.0,4.0,6954.0,9348.0,10516.0,10754.0,3075.0,2837.0
2009-10-06,13487.0,3201.0,1343.0,6.0,6950.0,9355.0,10157.0,10703.0,3331.0,2784.0
2009-09-15,16889.0,2486.0,1955.0,527.0,8444.0,9817.0,11457.0,12299.0,5432.0,4590.0
2009-09-08,14164.0,2193.0,1917.0,10.0,7675.0,8773.0,9877.0,10699.0,4286.0,3464.0
2009-09-01,13432.0,1948.0,1657.0,23.0,6632.0,7269.0,8603.0,8949.0,4829.0,4484.0
2009-08-25,11766.0,1876.0,1583.0,14.0,5469.0,6099.0,7359.0,7696.0,4407.0,4070.0
2009-08-18,12347.0,2533.0,1555.0,40.0,6147.0,7578.0,8720.0,9174.0,3627.0,3174.0
2009-08-11,12224.0,2396.0,1213.0,38.0,6404.0,7798.0,8839.0,9049.0,3385.0,3175.0
2009-08-04,12214.0,2223.0,1195.0,3.0,6443.0,7798.0,8669.0,8996.0,3545.0,3218.0
2009-07-28,11793.0,2169.0,1162.0,3.0,6409.0,7805.0,8581.0,8970.0,3211.0,2823.0
2009-07-14,12394.0,1681.0,2333.0,3.0,7418.0,7239.0,9102.0,9575.0,3292.0,2819.0
2009-06-16,28168.0,7044.0,1301.0,466.0,13621.0,20627.0,21131.0,22394.0,7038.0,5774.0
2009-06-09,25708.0,5894.0,1420.0,26.0,14024.0,19742.0,19944.0,21188.0,5764.0,4519.0
2009-06-02,25112.0,5319.0,1468.0,23.0,13742.0,18513.0,19084.0,20004.0,6029.0,5109.0
2009-05-26,19247.0,3968.0,1726.0,30.0,9852.0,13549.0,13850.0,15305.0,5397.0,3942.0
2009-05-19,14003.0,3913.0,1714.0,30.0,4605.0,8109.0,8548.0,9853.0,5455.0,4150.0
2009-05-12,14294.0,3983.0,2544.0,24.0,5164.0,7973.0,9171.0,10541.0,5124.0,3753.0
2009-05-05,13660.0,3481.0,1675.0,98.0,5105.0,7798.0,8684.0,9571.0,4976.0,4089.0
2009-04-28,12014.0,3187.0,1348.0,99.0,4706.0,6826.0,7992.0,8273.0,4022.0,3741.0
2009-04-21,10208.0,2984.0,1599.0,99.0,3258.0,4843.0,6341.0,6541.0,3867.0,3667.0
2009-04-14,10576.0,3698.0,951.0,2.0,3351.0,6172.0,7051.0,7125.0,3525.0,3451.0
2009-04-07,10388.0,3567.0,1089.0,2.0,3380.0,5253.0,6949.0,6344.0,3439.0,4043.0
2009-03-31,8548.0,3479.0,1044.0,0.0,1932.0,3832.0,5411.0,4876.0,3137.0,3672.0
2009-03-24,10080.0,3043.0,786.0,0.0,2472.0,3893.0,5515.0,4679.0,4566.0,5402.0
2009-03-17,27589.0,6073.0,4887.0,1366.0,15332.0,15967.0,22772.0,22221.0,4818.0,5368.0
2009-03-10,27245.0,5854.0,5764.0,1293.0,15435.0,15650.0,22583.0,22707.0,4662.0,4538.0
2009-03-03,26287.0,5413.0,5795.0,689.0,14976.0,16034.0,21077.0,22517.0,5210.0,3770.0
